language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
swahili,BABEL_OP2_202_29663_20131208_035816_outLine,1,KW202-00001,what she has gone,217.41,218.2400,,,,,MISS
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00002,ng'ombe,260.76,261.2000,260.77,261.21,0.0692644256025,YES,CORR
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00002,ng'ombe,263.79,264.2600,263.80,264.3,0.0186795168834,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,480.55,480.9300,480.54,480.94,0.0274041208978,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,440.36,440.7300,440.33,440.75,0.0639268694084,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,470.42,470.7800,470.42,470.77,0.066156203413,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,486.18,486.6000,486.20,486.6,0.0037127393296,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,,,392.51,392.82,1.10855687656e-05,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,342.25,342.8800,342.28,342.89,0.0688654701599,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,437.69,438.0900,437.69,438.11,0.03866124766,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,147.51,147.8600,147.52,147.88,0.0649542743389,YES,CORR
swahili,BABEL_OP2_202_14814_20140205_210842_inLine,1,KW202-00002,ng'ombe,228.32,228.6500,228.20,228.66,0.0480574667034,YES,CORR
swahili,BABEL_OP2_202_17115_20140218_210921_inLine,1,KW202-00002,ng'ombe,246.72,247.1200,246.73,247.12,0.0515097955958,YES,CORR
swahili,BABEL_OP2_202_17115_20140218_210921_inLine,1,KW202-00002,ng'ombe,212.62,212.9300,212.63,212.94,0.0082672586558,YES,CORR
swahili,BABEL_OP2_202_17115_20140218_210921_inLine,1,KW202-00002,ng'ombe,,,612.05,612.77,0.000239936230617,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_inLine,1,KW202-00002,ng'ombe,144.38,144.7300,144.38,144.74,0.0689773996211,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_inLine,1,KW202-00002,ng'ombe,141.78,142.1200,141.78,142.15,0.000402323030705,YES,CORR
swahili,BABEL_OP2_202_39893_20140115_023429_inLine,1,KW202-00002,ng'ombe,347.73,348.0100,347.76,348.04,0.00281873187798,YES,CORR
swahili,BABEL_OP2_202_53957_20131031_012125_inLine,1,KW202-00002,ng'ombe,216.26,216.8200,216.27,216.83,0.0707635127085,YES,CORR
swahili,BABEL_OP2_202_53957_20131031_012125_inLine,1,KW202-00002,ng'ombe,,,97.86,98.2,1.83490522186e-05,YES,FA
